student_id,age,gender,attendance_pct,study_hours_per_day,prev_gpa,assignments_submitted,extracurricular_score,parent_education,internet_access,part_time_job,counseling_sessions,behavioral_notes,predicted_gpa,grade,pass_fail
STU1000,18,Male,78.5,3.5,7.75,85,7,Bachelor,1,0,3,Shows consistent improvement and participates actively,8.02,B+,1
STU1001,19,Female,92.0,5.0,9.5,95,8,Master,1,0,2,Excellent teamwork and outstanding critical thinking,9.35,A,1
STU1002,17,Male,55.0,1.5,4.5,60,3,High School,0,1,1,Frequently distracted and struggles with deadlines,4.3,D,0
STU1003,20,Female,88.0,4.5,8.5,90,6,Bachelor,1,0,4,Highly engaged and shows leadership skills,8.62,B+,1
STU1004,21,Male,45.0,1.0,3.75,50,2,High School,0,1,0,Attendance issues affecting performance significantly,3.52,F,0
STU1005,18,Female,95.0,6.0,9.75,98,9,PhD,1,0,5,Outstanding critical thinking and consistent improvement,9.78,A,1
STU1006,19,Male,72.0,3.0,7.0,78,5,Bachelor,1,1,2,Needs additional support in core subjects,6.9,B,1
STU1007,20,Female,83.0,4.0,8.0,88,7,Master,1,0,3,Shows consistent improvement and participates actively,7.95,B+,1
STU1008,17,Male,60.0,2.0,5.25,65,4,High School,1,1,1,Struggles with deadlines but motivated to improve,5.3,C,2
STU1009,22,Female,90.0,5.5,9.25,93,8,Master,1,0,4,Excellent teamwork and leadership skills demonstrated,9.2,A,1
STU1010,18,Male,50.0,1.2,4.0,55,2,High School,0,1,0,Frequently distracted in class and missing assignments,3.78,D,0
STU1011,19,Female,85.0,4.2,8.25,89,6,Bachelor,1,0,3,Highly engaged and participative in discussions,8.22,B+,1
STU1012,20,Male,77.0,3.8,7.5,82,5,Bachelor,1,0,2,Consistent attendance and good study habits,7.45,B,1
STU1013,21,Female,68.0,2.5,6.0,72,4,High School,1,1,2,Needs additional support but shows willingness,5.95,C,2
STU1014,18,Male,91.0,5.2,9.0,94,8,Master,1,0,4,Outstanding performance and critical thinking skills,8.98,A,1
STU1015,19,Female,63.0,2.2,5.0,68,3,High School,0,1,1,Attendance issues and struggles with core subjects,4.95,D,2
STU1016,20,Male,87.0,4.8,8.75,91,7,Bachelor,1,0,3,Shows consistent improvement over the semester,8.55,B+,1
STU1017,17,Female,74.0,3.2,7.25,80,5,Bachelor,1,0,2,Participative and motivated student overall,7.18,B,1
STU1018,21,Male,56.0,1.8,4.75,62,3,High School,0,1,1,Frequently distracted and needs support urgently,4.55,D,2
